rank,liquidator_address,total_liquidations_aave_morpho,distinct_collateral_assets,total_gross_profit_usd,active_in_event_window,ever_touched_rseth
1,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,3149,37,8861946.71,false,true
2,0x1f2f10d1c40777ae1da742455c65828ff36df387,2866,66,3300246.94,false,true
3,0xb441dea845a1a03a3e7aee81c03662fd9a1b6fda,1303,27,3347810.86,false,true
4,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,1155,14,858314.56,false,false
5,0x8ce45e650ab17b6ca0dd6071f7c2b5c69b5b42b2,1144,25,4977022.91,false,true
6,0xf0570ec48d03171a80ff796dceadf0d385a00004,1012,17,24729770.32,false,false
7,0xf00e2de0e78dff055a92ad4719a179ce275b6ef7,1009,25,91.42,false,false
8,0xbd32122bad41a09f2405bb374a83877d8245079c,949,42,3111851.06,false,false
9,0x36331e299247e5d0d3261e1d9852f6e0cffee95c,879,38,3156823.15,false,true
10,0xab0b85d53478cc98ca0d1900a340b26a5152f72e,871,11,641486.49,false,false
11,0x193e08fd4375444017caff5f24c0fbc3f273f846,788,20,1096462.27,false,true
12,0xe08d97e151473a848c3d9ca3f323cb720472d015,753,100,2704742.14,false,true
13,0xa090fc409a9f25bf8e28257d42ef6904590c8984,586,28,1138444.03,false,true
14,0x81463b0f960f247f704377661ec81c1fd65b5128,444,25,869541.36,false,false
15,0xf00001968c1d6196d3d0553030c7af8d1905dcbb,424,15,1840979.47,false,false
16,0x9d6b911199b891c55a93e4bc635bf59e33d002d8,381,20,-16990190.97,false,false
17,0x13cf8829d2eaf6a70a33c6b9bb67b6c2f5d135be,379,15,1200567.75,false,false
18,0x125466cc01d56a37c174fe6ed1cc7d80fd56a680,374,12,428273.24,false,false
19,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,368,13,999391.94,false,false
20,0x64127e89204a5fea60ac6eaccf0eef0d4d7790a7,362,11,34274.56,false,false
21,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,349,31,1870588.46,false,false
22,0x49e27d11379f5208cbb2a4963b903fd65c95de09,343,13,-381168.47,false,false
23,0x0c0435519ac226010638a61fd1d1bc652b5434de,334,23,4721523.45,false,false
24,0x64545160d28fd0e309277c02d6d73b3923cc4bfa,324,19,3868500.22,false,true
25,0xc389a2f0e3e4503d0760ec9538797eb38985b8c7,288,23,1681818.99,false,false
26,0x05c45c965a96af8b846cc3025066d5680f31ca52,283,16,38414.27,false,false
27,0x09f7e8515bb5587812a8783a9ff3b3847fe04755,274,21,1760840.52,false,true
28,0x167f6e958a1a082e33c75fab66bd511016e51340,223,10,2496562.02,false,false
29,0x7d6520275f03dbb389ab34080015496048d83a7a,223,14,1089198.32,false,false
30,0x03bd055aaa45286465e668ad22adc0320ca00003,221,10,2126625.36,false,false
31,0x95324830563c01f740eb2ac6f7cc11e4ec798dfd,203,13,2135773.58,false,false
32,0xa645e7b92b07313953e83189f4f310fa44292868,203,13,269742.55,false,false
33,0x88eb6e4358e940eea0151e16c77c336370708729,189,13,365549.03,false,false
34,0x6980a47bee930a4584b09ee79ebe46484fbdbdd0,177,12,3663943.39,false,false
35,0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,170,18,105835.10,false,false
36,0x890651b3222d5f4164347e97e75a4615ed1ea17c,154,18,3214379.44,false,true
37,0xb4b50bfa4c4c90dd25a4cbe695f8124d24ac6474,151,14,489236.17,false,false
38,0xd2e761e31b11f3c0fc3bf2399073ae83e2671d0e,139,8,308435.51,false,false
39,0x00000f91109c4d0007e90000d9facad5298a0cac,138,16,103028.95,false,false
40,0x42e213a3ad048e899b89ea8cb11d21bc97b84748,137,10,72636.06,false,false
41,0x720ff7451a5883574dfde3be5c5d1ebfdbc9edb3,127,16,575697.32,false,true
42,0xeea2f31dc2b624c691d4c37f96bbc606c7b2cdec,122,7,624386.35,false,false
43,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,114,12,1240500.02,false,false
44,0x42df00ac2e0000005486ac375a00b80000d12758,111,5,39892.44,false,false
45,0x4c1f184689aa1b415f80152dee319c3db0651f7e,108,5,2.18,false,false
46,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,105,8,153449.54,false,false
47,0x173e403aa69c0dfec798012b320065dfbd353caa,103,10,135929.01,false,false
48,0xad213ae0b710c7bc6c915984d91bad008b2d3221,102,12,1281805.67,false,false
49,0x982464e3c899c70305ce889ec59184201e5d7a2e,101,16,488755.93,false,false
50,0x321a36255fd952c8c9801eb53c23a12e3e1ce213,98,8,2442.43,false,false
